"city","connection","lat","long","alt"
" Libramont"," hayes"," 49.92667"," 5.36076"," 476.0"
" Warnach"," manuelle"," 49.86532"," 5.72646"," 457.0"
" Framont"," manuelle"," 49.91929"," 5.16000"," 380.0"
" Chassepierre"," hayes"," 49.69917"," 5.25873"," 353.0"
" Aye"," manuelle"," 50.22276"," 5.28873"," 243.0"
" Vance"," manuelle"," 49.66667"," 5.66667"," 325.0"
" Schockville"," hayes"," 49.76038"," 5.76345"," 343.0"
" Sommethonne"," manuelle"," 49.57871"," 5.44674"," 236.0"
" Michamps"," gsm"," 50.03761"," 5.80831"," 496.0"
" Amberloup"," hayes"," 50.03384"," 5.55073"," 389.0"
" Cherain"," hayes"," 50.17039"," 5.87316"," 386.0"
" Melreux"," manuelle"," 50.28408"," 5.44058"," 172.0"
" Chimay"," hayes"," 50.11048"," 4.25208"," 260.0"
" Ferrieres"," hayes"," 50.39886"," 5.60265"," 239.0"
" Haut-le-Wastia"," hayes"," 50.29753"," 4.84478"," 221.0"
" Viroinval"," hayes"," 50.04973"," 4.62417"," 304.0"
" Jemelle"," hayes"," 50.16598"," 5.24280"," 237.0"
" Louvain-la-Neuve"," hayes"," 50.66900"," 4.64164"," 136.0"
" Floriffoux"," hayes"," 50.45223"," 4.76334"," 93.0"
" Havelange"," hayes"," 50.40558"," 5.21846"," 230.0"
" Marloie"," manuelle"," 50.19745"," 5.31809"," 268.0"
" Cens"," manuelle"," 50.10639"," 5.57611"," 384.0"
" Emmels"," hayes"," 50.30504"," 6.08472"," 539.0"
" Bergeval"," hayes"," 50.35143"," 5.86865"," 411.0"
